Codigo,Norte,Este,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,ratingcol,claseph,long,lat
1349119GW211,8282964,232435,6.8,4113,2018,125,55.66,14.8,690,847,246.4,727.1,NA,Estiaje,Alto Camana,Agua subterranea,Termal,green,Aceptable,-71.49421593,-15.51670613
1349119SW113,8271920,222297,8.59,194,95.57,15.09,2.27,3.197,5.01,0.922,5.662,72.3,6,Estiaje,Alto Camana,Agua superficial,Quebrada,blue,Basico,-71.58990207,-15.61536268
1349119SW113,8268866,222297,8.38,77.5,38.48,8.1,2.1,2,4.1,0.3,5.4,37,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.59024896,-15.64294467
1349119SW116,8268855,222352,5.41,169.2,83.4,6.51,3.72,0.887,11.43,0.432,60.11,5.4,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,red,Acido,-71.58973758,-15.64305007
1349119SW116,8291173,221098,5,82.46,40.86,3.8,2.1,0.6,5.8,NA,29.3,NA,NA,Avenida,Alto Camana,Agua superficial,Quebrada,red,Acido,-71.59889556,-15.44134819
1349119SW117,8291178,221103,8.18,62.8,31.28,3.38,2.9,1.577,6.39,0.253,5.769,30,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.59884844,-15.44130357
1349119SW117,8289758,217723,7.82,435.8,214.9,2.8,2.6,1.3,3.3,NA,4.7,19,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.63048244,-15.45375686
1349119SW118,8289788,217748,7.62,95.8,47.44,5.16,3.7,1.891,8.15,0.426,11.84,35.1,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.63024623,-15.45348868
1349119SW118,8290807,220759,7.32,63.21,31.47,4.3,2.7,1.7,4.9,0.2,8.9,22,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.60209337,-15.44461669
1349119SW119,8290799,220760,7.68,198.8,97.5,7.1,3.96,2.241,9.72,0.539,23.58,31.7,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.60208496,-15.44468905
1349119SW119,8289637,222045,7.22,98.5,48.77,4.2,2.6,1.5,5.2,0.3,13.6,19,NA,Avenida,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.59024995,-15.45532388
1349119SW120,8289631,222045,6.97,85.8,42.33,5.14,2.85,2.267,6.26,0.307,15.25,28.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.59025063,-15.45537807
1349119SW120,8290717,217983,7.31,99.02,49.14,3.5,2.1,1.6,3.9,NA,7.5,18,NA,Avenida,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.6279522,-15.44512457
1349119SW122,8290726,217986,8.27,512.6,251.7,54.39,8.8,14.99,20.42,6.297,37.18,243.6,NA,Estiaje,Alto Camana,Agua superficial,Quebrada,green,Aceptable,-71.62792324,-15.44504362
1349119SW122,8286096,226106,8.85,259.9,127.8,31.4,4.8,8.9,10.2,0.4,10.6,129,3,Avenida,Alto Camana,Agua superficial,Quebrada,blue,Basico,-71.55282504,-15.48774453
1349119SW123,8288095,226106,8.32,164.3,80.97,11.68,3.9,4.663,9.88,0.946,24.19,63.2,NA,Estiaje,Alto Camana,Agua superficial,Rio,green,Aceptable,-71.55260352,-15.46968992
