Codigo,pH,CE,TDS,Ca,K,Mg,Na,Cl,SO4,HCO3,CO3,Temporada,Subcuenca,Tipo_Fuente,Clase_Fuente,Codigo2,ratingcol,claseph
49999119GW202,7,120.7,59.64,4.43,3.7,1.892,4.63,NA,NA,33.7,NA,Estiaje,Hornillos Alto,Agua subterranea,Manantial,49999119GW202,green,Aceptable
49999119GW203,7.17,31.4,15.89,2.17,1.82,0.62,2.22,0.653,12.99,17.3,NA,Estiaje,Hornillos Alto,Agua subterranea,Manantial,49999119GW203,green,Aceptable
49999119SW019,8.07,658.4,323.1,27.27,6.74,8.005,80.51,61.55,41.96,206.5,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW019,green,Aceptable
49999119SW021,8.4,441,216.6,NA,NA,2297,NA,NA,3243,NA,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW021,green,Aceptable
49999119SW022,7.65,3048,1494,65.55,25.29,9.866,599.6,599.4,305.4,623.1,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW022,green,Aceptable
49999119SW023,8.44,241.1,118.6,27.63,2.83,2.754,14.39,4.084,3.849,126.6,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW023,green,Aceptable
49999119SW025,8.41,354.6,174.3,18.32,2.9,2.504,11.35,4.183,2.752,37,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW025,green,Aceptable
49999119SW026,7.46,181.3,39.05,20.45,2.73,3.136,10.25,6.479,30.16,62.4,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW026,green,Aceptable
49999119SW027,7.49,137.6,67.3,12.49,1.56,2.572,3.55,0.259,11.57,48.6,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW027,green,Aceptable
49999119SW028,8.57,170.1,84,20.59,0.88,4.013,7.86,0.127,18.88,84.2,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW028,blue,Basico
49999119SW029,8.26,99.85,49.44,17.34,3.07,2.856,7.92,4.764,27.71,50.7,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW029,green,Aceptable
49999119SW031,8.58,148.7,73.1,9.56,2.1,0.956,19.97,0.411,9.866,77.5,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW031,blue,Basico
49999119SW032,8.95,89.85,44.53,16.25,3.01,2.772,7.66,4.227,24.29,50.4,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW032,blue,Basico
49999119SW033,9.19,86.94,43.18,16.22,2.96,2.751,5.6,1.869,25.92,47.8,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW033,blue,Basico
49999119SW036,8.87,1586,777.9,82.71,8.63,5.944,215.4,286.8,115.6,198.8,13.4,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW036,blue,Basico
49999119SW037,8.23,153.5,65.67,18.89,0.82,1.287,5.23,0.632,46.2,29.9,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW037,green,Aceptable
49999119SW039,8.7,56.59,28.23,2.69,2.79,1.307,6.4,0.499,1.339,35,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW039,blue,Basico
49999119SW040,7.94,239.5,117.8,30.23,1.89,4.249,5.86,0.596,64.29,57.2,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW040,green,Aceptable
49999119SW042,8.49,92.14,45.61,5.79,4.32,2.976,7.15,2.744,5.763,43.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW042,green,Aceptable
49999119SW043,8.99,73.26,36.37,4.2,3.1,2.142,6.46,0.476,1.261,45.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW043,blue,Basico
49999119SW044,8.61,96.59,47.83,5.35,3.58,2.522,6.08,0.741,3.957,45.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW044,blue,Basico
49999119SW045,7.49,145.5,71.8,9.78,4.26,2.868,6.22,1.774,14.41,45.6,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW045,green,Aceptable
49999119SW046,7.87,113.2,55.97,3.9,2.8,2.347,4.87,0.334,1.384,39.8,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW046,green,Aceptable
49999119SW048,9.08,145.6,71.87,7.75,4.23,2.515,7.04,1.367,10.05,47.5,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW048,blue,Basico
49999119SW049,8.65,126.6,62.33,11.18,3.91,3.339,7.81,2.508,16.94,49.8,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW049,blue,Basico
49999119SW051,7.71,291.2,143.1,32.48,3.32,13.32,4.48,2.148,28.25,129.6,7.4,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW051,green,Aceptable
49999119SW052,7.61,180.6,88.95,17.24,3.58,3.11,15.65,20.69,2.875,74.7,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW052,green,Aceptable
49999119SW053,7.46,92.5,45.2,7.88,2.03,2.613,3.56,0.233,9.706,35.2,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW053,green,Aceptable
49999119SW054,7.54,269.8,133.1,20.81,3.2,3.055,23.87,22.64,33.9,81.2,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW054,green,Aceptable
49999119SW055,8.45,177.6,87.4,10.26,3.78,2.451,25.84,17.78,7.467,79.4,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW055,green,Aceptable
49999119SW056,8.45,114.5,56.62,11.24,2.97,4.107,4.15,0.503,11.92,54.2,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW056,green,Aceptable
49999119SW057,8.12,175.4,85.8,8.4,3.12,2.222,19.54,14.31,6.243,72.4,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW057,green,Aceptable
49999119SW058,6.58,144.3,70.73,13.4,1.44,3.336,5.92,1.255,8.15,88.7,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW058,green,Aceptable
49999119SW059,8.73,157.2,77.47,8.46,3.39,2.343,23.36,14.59,6.091,68.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW059,blue,Basico
49999119SW061,9.25,128,63.54,7.81,3.67,3.405,8.76,0.882,2.939,59,NA,Estiaje,Hornillos Alto,Agua superficial,Arroyo,49999119SW061,blue,Basico
49999119SW062,8.02,85.78,42.55,6.58,3.1,3.097,5.31,0.606,2.413,50.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW062,green,Aceptable
49999119SW063,8.5,133.4,65.74,8.52,6.15,4.118,8.87,4.921,3.725,65.7,NA,Estiaje,Hornillos Alto,Agua superficial,Arroyo,49999119SW063,green,Aceptable
49999119SW064,8.25,127.3,62.9,3.52,3.28,1.532,3.8,0.371,1.863,33.4,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW064,green,Aceptable
49999119SW065,9.04,134.1,66.28,11.23,3.8,3.932,4.58,1.065,10.36,58.3,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW065,blue,Basico
49999119SW066,8.21,141.5,69.82,11.54,2.91,4.136,4.22,0.553,14.39,54,NA,Estiaje,Hornillos Alto,Agua superficial,Arroyo,49999119SW066,green,Aceptable
49999119SW067,9.05,95.32,47.67,7.23,2.99,2.82,5.76,1.074,5.492,45.9,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW067,blue,Basico
49999119SW069,8.46,100,49.55,7.45,3.2,2.266,11.72,2.711,4.634,58.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW069,green,Aceptable
49999119SW072,8.57,41.64,20.87,4.88,2.81,1.898,5.42,0.544,3.244,39.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW072,blue,Basico
49999119SW073,6.85,86.82,43.11,9.77,1.73,2.608,3.83,0.273,16.56,62,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW073,green,Aceptable
49999119SW074,8.31,141.9,70.2,6.11,2.97,2.121,10.27,2.508,4.057,53.1,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW074,green,Aceptable
49999119SW075,8.98,41.12,22.11,5.49,2.79,1.968,5.64,0.588,3.596,40.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW075,blue,Basico
49999119SW076,7.9,101.1,50.2,6.54,2.98,2.244,11.1,2.94,3.985,57.6,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW076,green,Aceptable
49999119SW077,8.63,95,47.08,17.25,3.32,3.363,10.28,0.726,16.04,77.4,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW077,blue,Basico
49999119SW079,8.93,48.3,24.19,5.87,2.89,2.071,6.64,0.696,3.545,43.8,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW079,blue,Basico
49999119SW081,7.34,275.6,135.7,45.47,1.03,1.317,4.01,0.119,112,11.3,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW081,green,Aceptable
49999119SW082,7.1,502.7,246.1,94.01,2.75,2.903,6.65,0.278,220.5,42.8,NA,Estiaje,Hornillos Alto,Agua superficial,Quebrada,49999119SW082,green,Aceptable
49999119SW083,7.21,780.6,380.2,146.2,2.06,2.999,9.5,0.337,335.8,50.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW083,green,Aceptable
49999119SW084,7.09,498.1,244.8,92.15,1.57,3.059,7.76,0.446,203.6,55.9,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW084,green,Aceptable
49999119SW087,8.95,336.4,164.7,18.76,3.69,3.045,26.02,21.22,26.56,79.4,NA,Estiaje,Hornillos Alto,Agua superficial,Rio,49999119SW087,blue,Basico
