Este [X];Norte [Y];Cota [Z];Ley de Cobre [%];Ley de Oro [ppm];Tipo de roca
77;232.1;75.7;0.54;0.137;2
163.1;593.2;82.3;0.54;0.189;2
220.3;158.2;36.2;0.54;0.511;2
275.3;338.3;96;0.54;1.488;2
274;189;132;0.54;0.229;2
160.4;278;59.6;0.54;0.114;2
306.6;356.8;84;0.54;0.109;2
190.6;143.6;24;0.54;0.316;2
119.5;586.7;119.9;0.55;0.17;2
172.8;598.9;98.6;0.55;0.04;2
133.5;531;101;0.55;1.319;2
78.1;231.9;61.6;0.55;0.255;2
154.6;293.4;54.7;0.55;0.081;2
220.4;158;132;0.55;0.39;2
100;518;120;0.55;0.155;2
100.4;218;96;0.55;0.253;2
190.4;503;83.8;0.55;2.973;2
141;233.3;37.7;0.56;0.027;2
157.3;523.2;131.8;0.56;1.456;2
131.4;533.7;102.5;0.56;7.896;2
178.6;593;100.6;0.56;0.286;2
131.4;533.7;109;0.57;1.164;2
159.9;232.8;84.7;0.57;0.103;2
155;338;12;0.57;0.508;2
99.8;431.2;72;0.57;0.278;2
43.2;591.6;58.7;0.58;0.812;2
238.7;175.7;12;0.58;0.319;2
129.9;263;24;0.58;0.021;2
129.9;263;72;0.58;3.119;2
129.9;263.4;24;0.58;0;2
129.9;263.4;72;0.58;4.156;2
70.4;503;132;0.58;0.13;2
315.7;233.8;130.3;0.58;4.604;2
264.9;234.1;79.2;0.58;1.615;2
273.4;234.1;87.8;0.59;0.983;2
103.5;44.7;132;0.59;0.068;2
310.7;173.4;132;0.59;3.698;2
250.7;593.4;108;0.59;0.009;2
190.5;563;132;0.59;2.361;2
130;323;24;0.59;0.015;2
170.2;532.5;52.1;0.59;3.068;2
101.3;35.7;72.8;0.59;0.018;2
92.5;533.1;84.5;0.59;0.373;2
193;528.6;108;0.59;8.072;2
326.7;52.9;96.9;0.6;4.361;2
370.4;172.9;72.3;0.6;10.626;2
275.3;338.3;108;0.6;0.511;2
160;188;12;0.6;0.062;2
100;308;12;0.6;0.08;2
310.6;293.4;132;0.6;5.38;2
190.6;143.6;36;0.6;2.443;2
130.4;233;11;0.6;0.029;2
130;23;120;0.6;0.797;2
172.4;232.3;50.9;0.61;0.254;2
127.5;232.6;73.1;0.61;1.812;2
312.8;53;14;0.61;3.142;2
275.3;338.3;24;0.61;0.635;2
280.4;248;135.7;0.61;0.109;2
221;112.4;36.9;0.61;1.043;2
167;218;48;0.61;0.061;2
100;518;108;0.61;0.171;2
238.7;175.7;96;0.61;0.029;2
190.6;593;48;0.61;0.453;2
190.5;563;120;0.61;1.187;2
75.4;532.2;96;0.61;0.026;2
70.5;52.8;132;0.61;0.045;2
93.5;533.5;120.5;0.61;0.222;2
60.5;591.7;75.4;0.61;1.189;2
211.3;230.9;41.5;0.61;1.143;2
113.2;2.2;96.6;0.62;0.192;2
121.7;273;58.3;0.62;0.798;2
275.3;338.3;48;0.62;1.129;2
246.4;111.3;11.4;0.62;1.038;2
311.1;233.1;132;0.62;6.356;2
251.2;324.1;24;0.62;0.12;2
102.5;408.4;116.5;0.62;0.007;2
328.6;52.9;108.7;0.62;8.789;2
80.2;117.2;88.7;0.62;0.286;2
160.4;308;11.3;0.62;0.142;2
130.4;233;23;0.63;0;2
160.4;308;23.3;0.63;0.709;2
298.7;233.9;113.3;0.63;2.687;2
220.4;368;108;0.63;0.126;2
167;218;24;0.63;0.117;2
310.6;293.4;120;0.63;3.549;2
250.1;353;108;0.63;0.369;2
250.2;263.2;36;0.63;0.129;2
130;323;60;0.63;1.15;2
179.2;596.6;124.7;0.63;0.464;2
86.6;231.9;70.1;0.63;1.246;2
345.3;157.8;119.3;0.64;2.794;2
280.6;151.9;129.1;0.64;1.662;2
135.4;233.4;27.1;0.64;0.019;2
220.4;338;23.1;0.64;0.117;2
160.4;278;132;0.64;0.338;2
100.4;6.9;132;0.64;0.025;2
190.4;353;83.1;0.64;2.594;2
121.1;113.6;51.4;0.64;1.294;2
212.2;352.5;124.7;0.65;0.548;2
345.3;157.8;131.3;0.65;2.306;2
61.2;23.2;97.2;0.65;0.112;2
123.3;232.9;84.4;0.65;0.381;2
250.2;263.2;96;0.65;0.088;2
