Ident;CRUISE;SHIP;YEAR;MONTH;DAY;HOUR;LONGITUDE;LATITUDE;Period;DEPTH;Domain;DC;SST;SALINITY;OXYGEN;WM;WMCode;Clorofila;fosfatos;nitratos;nitritos;silicatos;TOTAL.BIOMASS;ANCHOVIES;SARDINE;JACK.MACKEREL;MACKEREL;SAMASA;FALSO.VOLADOR;BAGRE;CAMOTILLO;VINCIGUERRIA;POTA;MUNIDA;TotalBsinMunida
7730;c0001-02;BIC-SNP;2000;1;25;125;-73.477;-16.7425;N;1930.66874633;A0;23.2053893239;23.2;35;5.37;AM;5;.684;.621136753841;.094917037109;1.09850821829;5.99391234189;0;0;0;0;0;0;0;0;0;0;0;0;0
5328;c0001-02;BIC-SNP;2000;2;1;906;-77.24083333333333;-12.99816666666666;D;1194.56835008;A0;38.1376719797;23.2;35.07;5.37;ASS;3;.597;.862345491638;.0333742973986;.355154639677;.950776400783;0;0;0;0;0;0;0;0;0;0;0;0;0
4349;c0001-02;BIC-Olaya;2000;2;6;527;-78.19666666666667;-12.65833333333333;CD;3605.79695553;A0;70.4557812635;23.2;35.03;5.37;ASS;3;.345;.939683783582;.0500781451307;2.66218865823;3.15368310558;0;0;0;0;0;0;0;0;0;0;0;0;0
4337;c0001-02;BIC-Olaya;2000;2;6;532;-78.21166666666667;-12.66666666666666;CD;3728.65811856;A0;71.4394162189;23.2;35.04;5.37;ASS;3;.321;.932582295746;.0498693159051;2.69446586445;3.11166379432;0;0;0;0;0;0;0;0;0;0;0;0;0
7735;c0001-02;BIC-SNP;2000;1;25;131;-73.46866666666666;-16.729;N;1821.63054814;A0;22.3161760587;23.1;35;5.37;AM;5;.731;.62112059302;.0968396372749;1.10512121055;5.97050000313;10;0;0;0;0;0;0;0;0;0;0;10;0
4204;c0001-02;BIC-Olaya;2000;2;7;312;-78.33666666666667;-12.16666666666666;N;2667.03595294;A0;65.1530848804;23.1;34.98;5.37;AM;5;.307;.751772385613;.0802318845891;1.80605583187;3.84834599193;0;0;0;0;0;0;0;0;0;0;0;0;0
1599;c0001-02;BIC-Olaya;2000;2;19;508;-80.925;-7.015;N;1340.38745172;A0;41.5259709687;23.1;34.97;5.37;AM;5;1.961;1.12885970772;.298259816741;1.93544282397;4.0256263352;2189;1520;0;0;0;0;0;0;0;0;669;0;2189
1240;c0001-02;BIC-SNP;2000;2;21;2005;-81.221;-5.755;N;361.675709365;AT;8.90831764016;23.1;34.29;5.37;AES;2;.934;.702215146419;.0703535812964;3.88661120026;2.27778333416;0;0;0;0;0;0;0;0;0;0;0;0;0
7336;c0001-02;BIC-Olaya;2000;1;25;426;-74.31166666666667;-17.12166666666666;N;5772.2084455;A0;63.5551350201;23;34.96;5.37;AM;5;.21;.684671400221;.0635422068797;.351764821652;3.1233444247;118;0;0;0;0;0;0;0;0;72;0;46;72
7335;c0001-02;BIC-Olaya;2000;1;25;405;-74.315;-17.13833333333333;N;5686.17570193;A0;64.4930169677;23;34.96;5.37;AM;5;.229;.685735462298;.0635793295287;.334941286405;3.11294486188;84;0;0;0;0;0;0;0;0;51;0;33;51
4333;c0001-02;BIC-Olaya;2000;2;6;1642;-78.21666666666667;-12.38166666666666;D;2795.7033155;A0;65.3808546998;23;34.95;5.37;AM;5;.247;.694669569215;.0640344616043;2.57640516721;2.61025135366;5851;4866;131;591;263;0;0;0;0;0;0;0;5851
7739;c0001-02;BIC-SNP;2000;1;25;137;-73.45916666666666;-16.714;N;1705.07425545;A0;21.3158441805;22.9;34.99;5.37;AM;5;.783;.62069674621;.0989108167804;1.10776886081;5.93634428605;8;0;0;0;0;0;0;0;0;0;0;8;0
4738;c0001-02;BIC-Olaya;2000;2;2;18;-77.78;-12.99166666666667;N;2546.10707129;A0;63.9771466898;22.9;35.04;5.37;ASS;3;.812;1.33963853041;.0621018981851;1.79827187849;5.00955208896;0;0;0;0;0;0;0;0;0;0;0;0;0
7744;c0001-02;BIC-SNP;2000;1;25;143;-73.45016666666666;-16.69933333333333;N;1607.47542709;A0;20.3057461443;22.8;34.99;5.37;AM;5;.836;.620186163466;.100859956189;1.10559799383;5.8968524086;16;0;0;0;0;0;0;0;0;0;0;16;0
3160;c0001-02;BIC-Olaya;2000;2;9;1640;-79.27;-10.7;D;2702.06282668;A0;73.0565823434;22.8;35.17;5.37;ASS;3;.156;.645689276304;.0456057112244;.27406049314;1.48941161056;0;0;0;0;0;0;0;0;0;0;0;0;0
7418;c0001-02;BIC-Olaya;2000;1;25;621;-74.16833333333334;-16.88333333333333;CD;5217.81330861;A0;46.7535296122;22.7;34.96;5.37;AM;5;.081;.652515951143;.0635465106004;.416155729349;3.6090135653;0;0;0;0;0;0;0;0;0;0;0;0;0
7068;c0001-02;BIC-SNP;2000;1;26;1952;-74.83833333333334;-16.17633333333333;N;3190.04074917;A0;30.9697679821;22.7;35.06;5.37;ASS;3;4.637;.580591734902;.073270732364;.359740011166;3.07672358037;196;0;0;0;0;0;0;0;0;0;196;0;196
5008;c0001-02;BIC-Olaya;2000;2;1;2211;-77.54;-12.86166666666667;N;1380.84557589;A0;48.4685667173;22.7;35.17;5.37;ASS;3;.81;1.0505187037;.045716256678;1.50729847354;3.4465965945;233;169;0;0;52;0;0;0;0;12;0;0;233
7649;c0001-02;BIC-SNP;2000;1;25;926;-73.66483333333333;-16.57116666666667;D;1442.03696632;A0;17.9400988773;22.6;34.97;5.37;AM;5;.868;.821760938288;.120930989731;1.66886495041;7.62386533063;0;0;0;0;0;0;0;0;0;0;0;0;0
6524;c0001-02;BIC-SNP;2000;1;28;2000;-75.911;-15.331;N;3038.00115132;A0;31.4263678305;22.6;35.16;5.37;ASS;3;.742;.687791254007;.174906268792;.388782757401;3.21054450249;69;35;0;20;0;0;0;0;0;14;0;0;69
4499;c0001-02;BIC-Olaya;2000;2;6;426;-78.035;-12.56166666666667;N;2613.87024999;A0;58.8467635748;22.6;34.98;5.37;AM;5;.476;.942983215399;.0477880774878;2.43808691444;3.18922573238;30;20;0;9;1;0;0;0;0;0;0;0;30
4485;c0001-02;BIC-Olaya;2000;2;6;432;-78.05;-12.57;N;2723.48141606;A0;59.8625537806;22.6;34.98;5.37;AM;5;.473;.956086489232;.0480270528306;2.45528504801;3.23877682571;238;162;0;72;4;0;0;0;0;0;0;0;238
5916;c0001-02;BIC-Olaya;2000;1;30;17;-76.68966666666667;-14.7185;N;3922.61843217;A0;38.8442595986;22.5;35.13;5.37;ASS;3;.511;.63025136578;.0383149760765;.895421647582;3.21269697245;305;251;0;5;11;0;0;0;0;26;12;0;305
7357;c0001-02;BIC-Olaya;2000;1;25;1100;-74.27166666666666;-16.56;D;3323.81022644;A0;34.4633776219;22.4;34.97;5.37;AM;5;1.067;.794781988189;.0741328775414;1.48019768213;3.88247152064;0;0;0;0;0;0;0;0;0;0;0;0;0
7751;c0001-02;BIC-SNP;2000;1;25;327;-73.439;-16.62183333333334;N;1057.56180687;A0;15.9414030216;22.3;34.98;5.37;AM;5;1.083;.638256229845;.110269939478;1.08087815183;5.81484015577;6;0;0;0;0;0;0;0;0;0;0;6;0
